experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
27,50,20000,10,1000000000.0,1e-08,1e-08,0.11997951316557268,0,8,2,0,8,2,0,8,2,0,5,5,0,6,4
27,50,50000,10,1000000000.0,1e-08,1e-08,0.11997951316557268,0,10,0,0,10,0,0,10,0,0,9,1,0,9,1
28,50,5000,10,1000000000.0,1e-08,1e-08,0.12038071294787653,0,9,1,0,9,1,0,9,1,1,4,5,1,4,5
28,50,20000,10,1000000000.0,1e-08,1e-08,0.12038071294787653,1,8,1,1,8,1,1,9,0,4,5,1,4,5,1
28,50,50000,10,1000000000.0,1e-08,1e-08,0.12038071294787653,0,9,1,0,10,0,0,10,0,1,8,1,1,8,1
29,50,5000,10,1000000000.0,1e-08,1e-08,0.12140344371343254,0,9,1,0,9,1,0,9,1,4,4,2,4,4,2
29,50,20000,10,1000000000.0,1e-08,1e-08,0.12140344371343254,1,8,1,1,8,1,1,8,1,3,5,2,2,6,2
29,50,50000,10,1000000000.0,1e-08,1e-08,0.12140344371343254,1,8,1,1,8,1,0,10,0,2,6,2,2,6,2
30,50,5000,10,1000000000.0,1e-08,1e-08,0.12167103697388358,0,10,0,0,10,0,0,10,0,2,3,5,2,3,5
30,50,20000,10,1000000000.0,1e-08,1e-08,0.12167103697388358,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
30,50,50000,10,1000000000.0,1e-08,1e-08,0.12167103697388358,1,9,0,1,9,0,1,9,0,2,8,0,2,8,0
31,50,5000,10,1000000000.0,1e-08,1e-08,0.11980005989672353,1,9,0,1,9,0,1,9,0,3,4,3,3,4,3
